Unnamed: 0,datetime,source,url,title,content
107,2012-11-30,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=374,中国人民大学提供超导和反铁磁序微观共存的直接实验证据,11074304
41,2012-05-26,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=373,中国人民大学铁基超导能隙对称性测量取得重要进展,凝聚态物理实验室研究组供稿
96,2012-04-05,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=372,中国人民大学新型铁基高温超导材料研究取得国际影响,
145,2011-12-12,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=371,实验证实三层石墨烯中一种新奇“准粒子”行为,
6,2011-07-12,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=370,蓝铜矿石及其微观量子阻错模型的研究进展,"最近，《物理评论快报》【Phys.Rev.Lett.106,217201(2011)】和《物理期刊：凝聚态物理》【J.Phys.:Condens.Matter23,164211(2011)】报道了中国人民大学物理系王孝群研究组与德国哥廷根大学理论物理研究所的Priv.–Doz.Dr.AndreasHonecker等的合作研究成果。他们采用一系列最先进的量子多体数值计算方法来模拟蓝铜矿石的量子磁性，提出了一个低能有效模型——自旋1/2类钻石链，从而自洽地解释了几乎全部的实验结果：低温磁化、非弹性中子散射、核磁共振、磁化率及比热的低温特性。"
191,2011-06-20,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=369,石墨烯--金属接触对石墨烯电子器件输运性质的影响,"近日，《应用物理快报》【Appl.Phys.Lett.97,142105(2010)】和《纳米快报》【NanoLetters11,151(2011)】分别报道了中国人民大学物理系季威研究组与加拿大麦吉尔（McGill）大学郭鸿教授研究组博士生JesseMaassen等人的合作研究成果。他们通过计算机模拟研究了Cu、Co三种金属的Ni、（111）表面和石墨烯（Graphene）接触界面的电子结构和电子输运性质，为今后制造石墨烯器件提供了一定理论依据。"
71,2011-05-13,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=368,钾铁硒核磁共振研究为理解高温超导机理提供新依据,"近日，美国物理学会《物理》杂志对钾铁硒（KyFe2-xSe2）超导材料的研究进展进行重点报道，其中包含中国人民大学物理系于伟强、鲍威、陈根富、卢仲毅等几个研究组的多项成果。此外，2011年5月13日出版《物理评论快报》(Phys.Rev.Lett.106,197001(2011))还刊发了于伟强研究组关于钾铁硒超导材料的核磁共振研究成果。"
193,2011-04-25,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=367,非晶合金宏观性能与微观原子结构关系研究取得新进展,
80,2010-11-10,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=318,DMRG研讨会在中国人民大学召开,计算凝聚态物理学界的一次盛会，“密度矩阵重整化群及其它数值重整化群方法研究进展国际研讨会”，8月23日在中国人民大学逸夫会议中心召开。本次会议由中国人民大学物理系与中国科学院物理研究所联合举办，受到国家科技部和国家自然科学基金委的资助。
174,2010-11-10,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=319,密度矩阵重整化群及其它数值重整化群方法研究进展国际研讨会在中国人民大学举行,计算凝聚态物理学界的一次盛会“密度矩阵重整化群及其它数值重整化群方法研究进展国际研讨会”，于2010年8月23日至9月3日在中国人民大学逸夫会议中心召开。来自于全世界密度矩阵重整化群方面的专家学者以及年轻学子汇聚一堂，共同介绍、探讨该研究领域的最新进展以及应用研究，同时为年轻学者们提供了一次非常好的学习、交流机会。中国人民大学常务副校长袁卫教授出席会议开幕式并致欢迎辞。
