,datetime,source,url,title,content
135,2018/7/16,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xwdt/djzt/fd3a46da56134e0fa4a614110ec388d7.htm,化学系党支部参加理学院“不忘初心牢记使命”专题教育实践活动,为深入学习贯彻落实党的十九大精神，以改革创新精神和求真务实作风全面加强学院党组织建设，大力弘扬党的优良传统和作风，值中国共产党成立97周年生日来临之际，理学院党委于2018年6月30日至7月4日赴福建闽西原中央革命根据地，开展了以“不忘初心牢记使命”为主题的教育培训实践活动。活动由院党委书记杨燕萍、党委副书记臧虹带队化学系教工党支部副书记秦玉军、朱克然、耿硕、罗红霞、郁志勇、杜为红、高玉红共7人参与。
136,2018/7/15,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsfz/xydt/3a4d93f6a5f44834849373dc5294d2cf.htm,我系2006级硕士唐明学入职北京高压科学研究中心,唐明学研究员，2006年浙江大学化学系基地班毕业后保送至攻读化学硕士学位；2009-2013在德国政府奖学金支持下从北威州光电研究所攻读博士；2013-2018年先后在欧洲高场核磁共振中心，里昂高师，瑞典阿斯利康研发总部，法国科学院，美国国家强磁场实验室开展博士后工作。部分科研成果已在Nat.Commun.、JACS、Angew.Chem.、JPCL、CM、JMCA等期刊发表。其课题组研究主要包括硬件和软件两部分，硬件部分包涵电池器件设计，高压原位设计及核磁共振的探头设计改装，贯穿能源功能材料的合成，表征及应用。以及在多学科交叉领域做出突破性创新，期间将与国内外一流课题组紧密合作。
137,2018/7/15,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsfz/xydt/50492490ff2d440a9ce1ecbb739e8a29.htm,我系2006级本科生段丽婷入职香港中文大学,我系2010年毕业本科生段丽婷，2016年于斯坦福大学获博士学位，师从ProfessorBianxiaoCui；2016-2018年在斯坦福大学继续进行博士后研究。2018年7月起担任香港中文大学生物医学工程系助理教授。至今在NatureCommunications、Chem&Bio等国际著名杂志上发表论文11篇。其研究致力于开发远程、无创的技术来控制一些重要的细胞内过程。
138,2018/7/11,chem.ruc.edu.cn,http://chem.ruc.edu.cn/ywsy/NEWS/Academicachievements/0162a220fd364dc98f36c631b176c969.htm,Progress in Prof. Li’s group: Total Synthesis of Clavilactone Family Members,"Organicperoxideshavereceivedconsiderableattentioninpharmacy,biochemistryandfoodchemistrybecauseoftheircloserelationshipwithdrugdesign,celldamage,andfoodsafety.Organicperoxidesalsoplayaskeyreactiveintermediatesinsyntheticchemistry.However,theestablishedmethodshavemore-limitedscope.Therefore,newperoxidationmethodsarehighlydesirableandvaluable."
139,2018/7/11,chem.ruc.edu.cn,http://chem.ruc.edu.cn/ywsy/NEWS/All/f58837ef4b2240e7b662278ba838905d.htm,Progress in Prof. Li’s group: Total Synthesis of Clavilactone Family Members,"Organicperoxideshavereceivedconsiderableattentioninpharmacy,biochemistryandfoodchemistrybecauseoftheircloserelationshipwithdrugdesign,celldamage,andfoodsafety.Organicperoxidesalsoplayaskeyreactiveintermediatesinsyntheticchemistry.However,theestablishedmethodshavemore-limitedscope.Therefore,newperoxidationmethodsarehighlydesirableandvaluable."
140,2018/7/2,chem.ruc.edu.cn,http://chem.ruc.edu.cn/tzgg/zsdt/5c9b146a66c34f9487cc3fa1feddb438.htm,2017年暑期学校日程,7月10日星期一 地点：中国人民大学理工楼一层大厅
141,2018/6/28,chem.ruc.edu.cn,http://chem.ruc.edu.cn/tzgg/zsdt/6ef600ec01714787bbe9d72fef96c785.htm,中国人民大学化学系2018年暑期学校日程,7月17日星期二 地点：中国人民大学理工楼一层大厅
142,2018/6/25,chem.ruc.edu.cn,http://chem.ruc.edu.cn/ywsy/LECTURE/Inschool/0951f84eb0bf4e249c15cfc82a2b99e1.htm,"Toward next -generation organic solar cells that are effcient, low-cost and environmentally friendly",
143,2018/6/21,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsjl/xn/e74bb939e5ab4a11bc74eeb5ac7500c9.htm,"Toward next -generation organic solar cells that are effcient, low-cost and environmentally friendly",
144,2018/6/20,chem.ruc.edu.cn,http://chem.ruc.edu.cn/tzgg/zsdt/a3656e6ffe814c6eb3c864e0fc88d15f.htm,暑期学校初选名单及信息确认,非京籍名单（提供住宿）：
